Number of nodes 7379 
     1 : -2.3098033e+06  9.5181300e+04  0.0000000e+00 
     2 :  6.2016511e+06  3.7706010e+06  0.0000000e+00 
     3 :  1.7180308e+06 -1.0778453e+07  0.0000000e+00 
     4 :  1.1912761e+07 -3.5869604e+07  0.0000000e+00 
     5 : -1.1584049e+08  5.6174155e+06  1.4282884e+02 
     6 : -2.2037560e+07  1.4104818e+07  0.0000000e+00 
     7 :  2.4050744e+06 -2.3615042e+06  0.0000000e+00 
     8 : -1.2958769e+07  7.6779864e+06  0.0000000e+00 
     9 : -5.8742765e+06  1.2173349e+07  0.0000000e+00 
    10 :  1.3852198e+07  1.4427043e+07  0.0000000e+00 
    11 :  1.2286060e+06 -2.8856566e+06  0.0000000e+00 
    12 : -3.5431580e+06  1.3578502e+07  0.0000000e+00 
    13 : -4.8920310e+06  4.6985560e+06  0.0000000e+00 
    14 : -8.0336841e+05 -2.2227665e+06  0.0000000e+00 
    15 :  4.3893097e+06  5.4590793e+04  0.0000000e+00 
    16 :  1.7378555e+05 -7.5914142e+05  0.0000000e+00 
    17 : -6.9520832e+06  1.1963208e+07  0.0000000e+00 
    18 : -3.0679926e+07  5.1707089e+06  0.0000000e+00 
    19 : -5.9443747e+06  1.3364589e+07  0.0000000e+00 
    20 : -2.7523655e+07  1.8117747e+06  0.0000000e+00 
    21 :  2.9627541e+06 -4.0437554e+06  0.0000000e+00 
    22 :  2.1700246e+06 -8.5332411e+06  0.0000000e+00 
    23 : -5.4771552e+06  8.3261955e+06  0.0000000e+00 
    24 :  2.7543999e+06 -7.6372898e+05  0.0000000e+00 
    25 : -6.5590654e+06  9.2668919e+06  0.0000000e+00 
    26 :  4.2376119e+06 -4.9336986e+05  0.0000000e+00 
    27 : -4.5045538e+06  3.3395370e+06  0.0000000e+00 
    28 :  3.0971492e+06 -8.6778554e+06  0.0000000e+00 
    29 : -4.0082918e+06  3.0043966e+06  2.6368823e+01 
    30 : -8.8828018e+05 -1.5830286e+06  0.0000000e+00 
    31 :  1.9135664e+06  1.1278412e+07  0.0000000e+00 
    32 : -2.4414157e+07  1.6391737e+07  0.0000000e+00 
    33 :  2.2932176e+04 -1.6717531e+06  0.0000000e+00 
    34 :  8.3597232e+05  1.4572020e+06  0.0000000e+00 
    35 : -5.4302513e+05 -1.5595545e+06  0.0000000e+00 
    36 : -4.7053841e+06  5.4001779e+06  0.0000000e+00 
    37 : -4.3860714e+06  7.3391174e+06  0.0000000e+00 
    38 :  1.1922875e+06  1.7759781e+06  0.0000000e+00 
    39 :  5.9204566e+06  9.8309720e+05  0.0000000e+00 
    40 : -4.7215988e+06  5.0301774e+06  0.0000000e+00 
    41 : -4.4732334e+06  2.8299664e+06  2.7086481e+01 
    42 : -4.4606447e+06  2.5382017e+06  0.0000000e+00 
    43 : -2.3052592e+06  4.0915839e+05  1.2239820e+01 
    44 : -2.1570674e+06  7.3354255e+05  4.6277359e+00 
    45 : -1.8408827e+06  9.9608711e+05  0.0000000e+00 
    46 : -1.5468953e+06  1.3948017e+06  0.0000000e+00 
    47 : -8.7342329e+05  1.6445037e+06  0.0000000e+00 
    48 : -3.0430134e+05  1.4036468e+06  0.0000000e+00 
    49 :  2.8349727e+05  2.0842035e+06  0.0000000e+00 
    50 :  8.2799582e+05  2.4037834e+06  0.0000000e+00 
    51 :  8.8415131e+05  2.1610108e+06  1.2935514e+01 
    52 :  1.7881400e+06  1.8578074e+06  1.2890119e+01 
    53 :  2.2901389e+06  1.5514014e+06  0.0000000e+00 
    54 :  1.9562302e+06  1.0499672e+06  0.0000000e+00 
    55 :  2.8068422e+06  5.7008269e+05  0.0000000e+00 
    56 :  3.5455416e+06  5.3893655e+05  0.0000000e+00 
    57 :  3.4566688e+06  1.0325343e+06  0.0000000e+00 
    58 :  2.5176684e+06  1.1040120e+06  9.9643920e+00 
    59 :  2.9621630e+06  1.6235505e+06  1.8595844e-01 
    60 :  3.8545009e+06  1.3035899e+06  2.0892938e+01 
    61 :  3.7795127e+06  5.6680666e+05  0.0000000e+00 
    62 :  4.6353732e+06  6.8562070e+04  1.9738243e+01 
    63 :  5.4583395e+06 -2.2123940e+05  6.1448256e+02 
    64 :  6.0238563e+06 -9.5661319e+05  0.0000000e+00 
    65 :  6.1214444e+06 -2.3115341e+04  0.0000000e+00 
    66 :  5.3835410e+06  7.4829622e+05  4.6675867e+02 
    67 :  5.6597467e+06  1.7863751e+06  8.7261108e+02 
    68 :  5.1885738e+06  1.4254236e+06  0.0000000e+00 
    69 :  5.8740829e+06  2.3780803e+06  0.0000000e+00 
    70 :  4.9389075e+06  2.6144484e+06  2.1968028e+01 
    71 :  4.2517280e+06  3.0007186e+06  2.0679478e+00 
    72 :  4.2906539e+06  3.7677491e+06  9.9533965e+02 
    73 :  5.0359254e+06  2.9313601e+06  0.0000000e+00 
    74 :  5.6094568e+06  3.1222750e+06  0.0000000e+00 
    75 :  5.3293639e+06  3.8559849e+06  1.2270983e+02 
